Phi,k,N_equilibrium
0.1,0.628,2.59589e+17
0.1,0.629,2.67205e+18
0.1,0.63,2.37068e+19
0.1,0.631,1.84498e+20
0.1,0.632,1.27838e+21
0.1,0.633,7.98531e+21
0.1,0.634,4.54593e+22
0.1,0.635,2.38073e+23
0.1,0.636,1.15619e+24
0.1,0.637,5.24425e+24
0.1,0.638,2.2352e+25
0.1,0.639,9.00192e+25
0.1,0.64,3.44181e+26
0.1,0.641,1.25477e+27
0.1,0.642,4.37811e+27
0.1,0.643,1.46704e+28
0.1,0.644,4.73517e+28
0.1,0.645,1.47644e+29
0.1,0.646,4.45739e+29
0.1,0.647,1.3061e+30
0.1,0.648,3.72158e+30
0.1,0.649,1.03308e+31
0.1,0.65,2.7988e+31
0.1,0.651,7.41168e+31
0.1,0.652,1.92091e+32
0.1,0.653,4.87938e+32
0.1,0.654,1.21612e+33
0.1,0.655,2.97727e+33
0.1,0.656,7.16721e+33
0.1,0.657,1.69808e+34
0.1,0.658,3.96285e+34
0.1,0.659,9.1175e+34
0.1,0.66,2.06949e+35
0.1,0.661,4.63727e+35
0.1,0.662,1.02655e+36
0.1,0.663,2.24614e+36
0.1,0.664,4.8609100000000005e+36
0.1,0.665,1.0409000000000001e+37
0.1,0.666,2.20679e+37
0.1,0.667,4.6338200000000005e+37
0.1,0.668,9.64168e+37
0.1,0.669,1.9886e+38
0.1,0.67,4.0675500000000005e+38
0.1,0.671,8.25347e+38
0.1,0.672,1.6619500000000002e+39
0.1,0.673,3.32194e+39
0.1,0.674,6.593150000000001e+39
0.1,0.675,1.2997600000000002e+40
0.1,0.676,2.5456400000000003e+40
0.1,0.677,4.95458e+40
0.1,0.678,9.58501e+40
0.1,0.679,1.84369e+41
0.1,0.68,3.52644e+41
0.1,0.681,6.70916e+41
0.1,0.682,1.2698300000000001e+42
0.1,0.683,2.39129e+42
0.1,0.684,4.4816200000000005e+42
0.1,0.685,8.36027e+42
0.1,0.686,1.5525200000000002e+43
0.1,0.687,2.87048e+43
0.1,0.688,5.285020000000001e+43
0.1,0.689,9.69132e+43
0.1,0.69,1.77e+44
0.1,0.691,3.2207800000000003e+44
0.1,0.692,5.83856e+44
0.1,0.693,1.05462e+45
0.1,0.694,1.8983300000000002e+45
0.1,0.695,3.40556e+45
0.1,0.696,6.089400000000001e+45
0.1,0.697,1.0854000000000001e+46
0.1,0.698,1.92858e+46
0.1,0.699,3.4168100000000003e+46
0.1,0.7,6.03535e+46
0.1,0.701,1.06315e+47
0.1,0.702,1.86752e+47
0.1,0.703,3.27163e+47
0.1,0.704,5.716320000000001e+47
0.1,0.705,9.962570000000001e+47
0.1,0.706,1.73208e+48
0.1,0.707,3.0042e+48
0.1,0.708,5.1983900000000004e+48
0.1,0.709,8.97405e+48
0.1,0.71,1.54579e+49
0.1,0.711,2.65676e+49
0.1,0.712,4.55667e+49
0.1,0.713,7.798380000000001e+49
0.1,0.714,1.3321000000000002e+50
0.1,0.715,2.2707700000000002e+50
0.1,0.716,3.86341e+50
0.1,0.717,6.5608900000000005e+50
0.1,0.718,1.11211e+51
0.1,0.719,1.8816000000000002e+51
0.1,0.72,3.17783e+51
0.1,0.721,5.3582e+51
0.1,0.722,9.01922e+51
0.1,0.723,1.5156200000000002e+52
0.1,0.724,2.54272e+52
0.1,0.725,4.2594000000000004e+52
0.1,0.726,7.124060000000001e+52
0.1,0.727,1.1896700000000002e+53
0.1,0.728,1.9837200000000003e+53
0.1,0.729,3.30266e+53
0.1,0.73,5.4914800000000005e+53
0.1,0.731,9.11751e+53
0.1,0.732,1.5115500000000001e+54
0.1,0.733,2.50298e+54
0.1,0.734,4.13867e+54
0.1,0.735,6.83509e+54
0.1,0.736,1.1272400000000001e+55
0.1,0.737,1.8569900000000003e+55
0.1,0.738,3.05513e+55
0.1,0.739,5.02041e+55
0.1,0.74,8.23996e+55
0.1,0.741,1.3508400000000001e+56
0.1,0.742,2.21193e+56
0.1,0.743,3.61821e+56
0.1,0.744,5.91148e+56
0.1,0.745,9.648220000000001e+56
0.1,0.746,1.5729400000000003e+57
0.1,0.747,2.5615800000000004e+57
0.1,0.748,4.16749e+57
0.1,0.749,6.77355e+57
0.1,0.75,1.0998e+58
0.1,0.751,1.78394e+58
0.1,0.752,2.8908e+58
0.1,0.753,4.6799e+58
0.1,0.754,7.56898e+58
0.1,0.755,1.22309e+59
0.1,0.756,1.9747000000000002e+59
0.1,0.757,3.1852200000000004e+59
0.1,0.758,5.13303e+59
0.1,0.759,8.265040000000001e+59
0.1,0.76,1.32959e+60
0.1,0.761,2.1370699999999998e+60
0.1,0.762,3.4324900000000005e+60
0.1,0.763,5.50814e+60
0.1,0.764,8.83151e+60
0.1,0.765,1.41493e+61
0.1,0.766,2.26511e+61
0.1,0.767,3.62327e+61
0.1,0.768,5.79138e+61
0.1,0.769,9.249900000000001e+61
0.1,0.77,1.4761e+62
0.1,0.771,2.35429e+62
0.1,0.772,3.7517400000000004e+62
0.1,0.773,5.97464e+62
0.1,0.774,9.50758e+62
0.1,0.775,1.5118900000000001e+63
0.1,0.776,2.4025700000000002e+63
0.1,0.777,3.81527e+63
0.1,0.778,6.05453e+63
0.1,0.779,9.6018e+63
0.1,0.78,1.52161e+64
0.1,0.781,2.40998e+64
0.1,0.782,3.8142e+64
0.1,0.783,6.033540000000001e+64
0.1,0.784,9.537410000000001e+64
0.1,0.785,1.50653e+65
0.1,0.786,2.37868e+65
0.1,0.787,3.75308e+65
0.1,0.788,5.917530000000001e+65
0.1,0.789,9.32635e+65
0.1,0.79,1.4688700000000002e+66
0.1,0.791,2.31187e+66
0.1,0.792,3.63714e+66
0.1,0.793,5.71846e+66
0.1,0.794,8.985780000000001e+66
0.1,0.795,1.41106e+67
0.1,0.796,2.21488e+67
0.1,0.797,3.4746800000000006e+67
0.1,0.798,5.44773e+67
0.1,0.799,8.53678e+67
1.0,0.1,0.9165709999999999
1.0,0.101,0.918899
1.0,0.102,0.9212370000000001
1.0,0.103,0.923584
1.0,0.104,0.925941
1.0,0.105,0.928307
1.0,0.106,0.930682
1.0,0.107,0.933067
1.0,0.108,0.9354610000000001
1.0,0.109,0.937865
1.0,0.11,0.9402780000000001
1.0,0.111,0.942702
