Phi,k,N_equilibrium
10.0,0.627,6.537460000000001e+40
10.0,0.628,1.0386800000000001e+41
10.0,0.629,1.6493700000000001e+41
10.0,0.63,2.6177800000000002e+41
10.0,0.631,4.15296e+41
10.0,0.632,6.585200000000001e+41
10.0,0.633,1.04371e+42
10.0,0.634,1.65343e+42
10.0,0.635,2.6182000000000003e+42
10.0,0.636,4.14401e+42
10.0,0.637,6.556150000000001e+42
10.0,0.638,1.03679e+43
10.0,0.639,1.6388e+43
10.0,0.64,2.5894800000000003e+43
10.0,0.641,4.08977e+43
10.0,0.642,6.45645e+43
10.0,0.643,1.0189e+44
10.0,0.644,1.60719e+44
10.0,0.645,2.53436e+44
10.0,0.646,3.99458e+44
10.0,0.647,6.29382e+44
10.0,0.648,9.91259e+44
10.0,0.649,1.5605800000000002e+45
10.0,0.65,2.4560300000000002e+45
10.0,0.651,3.86364e+45
10.0,0.652,6.076130000000001e+45
10.0,0.653,9.55139e+45
10.0,0.654,1.50101e+46
10.0,0.655,2.3578e+46
10.0,0.656,3.70266e+46
10.0,0.657,5.81209e+46
10.0,0.658,9.120780000000001e+46
10.0,0.659,1.4307100000000002e+47
10.0,0.66,2.2436e+47
10.0,0.661,3.51699e+47
10.0,0.662,5.51141e+47
10.0,0.663,8.633790000000001e+47
10.0,0.664,1.35204e+48
10.0,0.665,2.1166400000000002e+48
10.0,0.666,3.3123300000000004e+48
10.0,0.667,5.1822e+48
10.0,0.668,8.10451e+48
10.0,0.669,1.2671700000000002e+49
10.0,0.67,1.98051e+49
10.0,0.671,3.09445e+49
10.0,0.672,4.833490000000001e+49
10.0,0.673,7.546850000000001e+49
10.0,0.674,1.17815e+50
10.0,0.675,1.8385e+50
10.0,0.676,2.86812e+50
10.0,0.677,4.4730500000000006e+50
10.0,0.678,6.97347e+50
10.0,0.679,1.0869700000000001e+51
10.0,0.68,1.69366e+51
10.0,0.681,2.6380700000000003e+51
10.0,0.682,4.10823e+51
10.0,0.683,6.39551e+51
10.0,0.684,9.953410000000001e+51
10.0,0.685,1.54862e+52
10.0,0.686,2.40867e+52
10.0,0.687,3.74552e+52
10.0,0.688,5.822470000000001e+52
10.0,0.689,9.048110000000001e+52
10.0,0.69,1.4058200000000002e+53
10.0,0.691,2.1835e+53
10.0,0.692,3.39027e+53
10.0,0.693,5.26308e+53
10.0,0.694,8.16772e+53
10.0,0.695,1.26714e+54
10.0,0.696,1.9654500000000002e+54
10.0,0.697,3.04764e+54
10.0,0.698,4.7243100000000004e+54
10.0,0.699,7.32166e+54
10.0,0.7,1.13438e+55
10.0,0.701,1.75708e+55
10.0,0.702,2.7207600000000003e+55
10.0,0.703,4.2122100000000004e+55
10.0,0.704,6.519180000000001e+55
10.0,0.705,1.00861e+56
10.0,0.706,1.5603200000000001e+56
10.0,0.707,2.4129500000000003e+56
10.0,0.708,3.7304800000000003e+56
10.0,0.709,5.76599e+56
10.0,0.71,8.910170000000001e+56
10.0,0.711,1.37649e+57
10.0,0.712,2.1257500000000004e+57
10.0,0.713,3.2825200000000004e+57
10.0,0.714,5.0670100000000006e+57
10.0,0.715,7.819790000000001e+57
10.0,0.716,1.20642e+58
10.0,0.717,1.8610200000000003e+58
10.0,0.718,2.86983e+58
10.0,0.719,4.42433e+58
10.0,0.72,6.81912e+58
10.0,0.721,1.05083e+59
10.0,0.722,1.6188500000000001e+59
10.0,0.723,2.4932100000000002e+59
10.0,0.724,3.83894e+59
10.0,0.725,5.90995e+59
10.0,0.726,9.09548e+59
10.0,0.727,1.3994300000000002e+60
10.0,0.728,2.1526400000000002e+60
10.0,0.729,3.31072e+60
10.0,0.73,5.09023e+60
10.0,0.731,7.82436e+60
10.0,0.732,1.20234e+61
10.0,0.733,1.8474300000000003e+61
10.0,0.734,2.83766e+61
10.0,0.735,4.357770000000001e+61
10.0,0.736,6.68997e+61
10.0,0.737,1.0269200000000001e+62
10.0,0.738,1.57591e+62
10.0,0.739,2.41776e+62
10.0,0.74,3.70835e+62
10.0,0.741,5.68642e+62
10.0,0.742,8.71857e+62
10.0,0.743,1.3363200000000002e+63
10.0,0.744,2.0478100000000005e+63
10.0,0.745,3.1371300000000002e+63
10.0,0.746,4.80519e+63
10.0,0.747,7.35864e+63
10.0,0.748,1.12657e+64
10.0,0.749,1.72436e+64
10.0,0.75,2.6385200000000003e+64
10.0,0.751,4.0369200000000004e+64
10.0,0.752,6.17493e+64
10.0,0.753,9.442640000000001e+64
10.0,0.754,1.44366e+65
10.0,0.755,2.2064800000000003e+65
10.0,0.756,3.3720400000000005e+65
10.0,0.757,5.15206e+65
10.0,0.758,7.86948e+65
10.0,0.759,1.2017899999999999e+66
10.0,0.76,1.83476e+66
10.0,0.761,2.8006900000000002e+66
10.0,0.762,4.27436e+66
10.0,0.763,6.5215100000000004e+66
10.0,0.764,9.94824e+66
10.0,0.765,1.51713e+67
10.0,0.766,2.31308e+67
10.0,0.767,3.52636e+67
10.0,0.768,5.37447e+67
10.0,0.769,8.18916e+67
10.0,0.77,1.24753e+68
10.0,0.771,1.89993e+68
10.0,0.772,2.89311e+68
10.0,0.773,4.404700000000001e+68
10.0,0.774,6.704129999999999e+68
10.0,0.775,1.0201900000000002e+69
10.0,0.776,1.5520900000000002e+69
10.0,0.777,2.3606300000000005e+69
10.0,0.778,3.59007e+69
10.0,0.779,5.458610000000001e+69
10.0,0.78,8.297360000000002e+69
10.0,0.781,1.2610000000000002e+70
10.0,0.782,1.9159600000000005e+70
10.0,0.783,2.9103000000000003e+70
10.0,0.784,4.420250000000001e+70
10.0,0.785,6.712250000000001e+70
10.0,0.786,1.0189900000000002e+71
10.0,0.787,1.5466200000000003e+71
10.0,0.788,2.3469500000000003e+71
10.0,0.789,3.5604500000000006e+71
10.0,0.79,5.400520000000001e+71
10.0,0.791,8.190510000000001e+71
10.0,0.792,1.2418500000000002e+72
10.0,0.793,1.88244e+72
10.0,0.794,2.8529900000000004e+72
10.0,0.795,4.322790000000001e+72
10.0,0.796,6.548060000000001e+72
10.0,0.797,9.918400000000002e+72
10.0,0.798,1.5019900000000003e+73
10.0,0.799,2.2739400000000003e+73
