,Phi,k,N_equilibrium
262,7.5,0.05,6.0808599999999995
263,7.7,0.05,6.24301
264,7.9,0.05,6.40517
265,8.1,0.05,6.56732
266,8.3,0.05,6.729480000000001
267,8.5,0.05,6.89164
268,8.7,0.05,7.053789999999999
269,8.9,0.05,7.21595
270,9.1,0.05,7.37811
271,9.3,0.05,7.540260000000001
272,7.9,0.705,4.72517e+55
273,8.1,0.705,5.13217e+55
274,8.3,0.705,5.56034e+55
275,8.5,0.705,6.009820000000001e+55
276,8.7,0.705,6.48104e+55
277,8.9,0.705,6.973610000000001e+55
278,9.1,0.705,7.489280000000001e+55
279,9.3,0.705,8.02682e+55
280,9.5,0.705,8.586260000000001e+55
281,9.7,0.705,9.16962e+55
282,9.9,0.705,9.77546e+55
283,0.1,0.71,1.54579e+49
284,0.3,0.71,1.07879e+51
285,0.5,0.71,8.827450000000001e+51
286,0.7,0.71,3.57736e+52
287,4.7,0.52,30.5609
288,4.9,0.52,31.8614
289,5.1,0.52,33.1618
290,5.3,0.52,34.4623
291,5.5,0.52,35.7627
292,5.7,0.52,37.0632
293,5.9,0.52,38.3637
294,6.1,0.52,39.6641
295,6.3,0.52,40.9646
296,6.5,0.52,42.2651
297,6.7,0.52,43.5655
298,6.9,0.52,44.86600000000001
299,7.1,0.52,46.1664
300,7.3,0.52,47.4669
301,7.5,0.52,48.7674
302,2.9,0.615,7.75943e+33
303,3.1,0.615,1.77975e+34
304,3.3,0.615,3.7417e+34
305,3.5,0.615,7.30701e+34
306,3.7,0.615,1.33996e+35
307,3.9,0.615,2.3273e+35
308,4.1,0.615,3.85633e+35
309,4.3,0.615,6.13239e+35
310,4.5,0.615,9.40534e+35
311,4.7,0.615,1.39711e+36
312,4.9,0.615,2.01733e+36
313,5.1,0.615,2.83992e+36
314,5.3,0.615,3.90814e+36
315,5.5,0.615,5.26914e+36
316,5.7,0.615,6.97446e+36
317,7.3,0.425,21.9588
318,7.5,0.425,22.5604
319,7.7,0.425,23.162
320,7.9,0.425,23.7637
321,8.1,0.425,24.3653
322,8.3,0.425,24.9669
323,8.5,0.425,25.5685
324,8.7,0.425,26.1701
325,8.9,0.425,26.7717
326,9.1,0.425,27.3733
327,9.3,0.425,27.9749
328,9.5,0.425,28.5765
329,9.7,0.425,29.1782
330,9.9,0.425,29.7798
331,0.1,0.43,0.309956
332,3.1,0.24,4.23344
333,3.3,0.24,4.5065599999999995
334,3.5,0.24,4.77968
335,3.7,0.24,5.05281
336,3.9,0.24,5.3259300000000005
337,4.1,0.24,5.59906
338,4.3,0.24,5.87218
339,4.5,0.24,6.14531
340,4.7,0.24,6.41843
341,4.9,0.24,6.691560000000001
342,5.1,0.24,6.96468
343,5.3,0.24,7.2378100000000005
344,5.5,0.24,7.51093
345,5.7,0.24,7.78406
346,5.9,0.24,8.05718
347,0.1,0.335,0.193198
348,0.3,0.335,0.5795939999999999
349,0.5,0.335,0.965989
350,0.7,0.335,1.35239
351,0.9,0.335,1.73878
352,1.1,0.335,2.12518
353,1.3,0.335,2.51157
354,1.5,0.335,2.89797
355,1.7,0.335,3.28436
356,1.9,0.335,3.67076
357,10.1,0.335,19.512999999999998
358,10.3,0.335,19.8994
359,10.5,0.335,20.2858
360,2.1,0.335,4.05716
361,2.3,0.335,4.44355
362,2.5,0.335,4.82995
363,2.7,0.335,5.21634
364,2.9,0.335,5.60274
365,3.5,0.755,9.692260000000001e+63
366,3.7,0.755,1.15532e+64
367,3.9,0.755,1.3633e+64
368,4.1,0.755,1.5943e+64
369,4.3,0.755,1.8491500000000003e+64
370,4.5,0.755,2.12899e+64
371,4.7,0.755,2.43452e+64
372,4.9,0.755,2.76657e+64
373,5.1,0.755,3.12595e+64
374,5.3,0.755,3.51366e+64
375,5.5,0.755,3.93049e+64
376,5.7,0.755,4.37707e+64
377,5.9,0.755,4.8537e+64
378,6.1,0.755,5.36128e+64
379,6.3,0.755,5.9e+64
380,1.1,0.71,2.33738e+53
381,1.3,0.71,4.65296e+53
382,1.5,0.71,8.35965e+53
383,1.7,0.71,1.3905500000000001e+54
384,1.9,0.71,2.17829e+54
385,10.1,0.71,9.185370000000001e+56
386,10.3,0.71,9.75221e+56
387,10.5,0.71,1.0339e+57
388,2.1,0.71,3.2523400000000005e+54
389,2.3,0.71,4.66873e+54
390,2.5,0.71,6.486270000000001e+54
